atomic_number,EN_pauling_scale,EN_allen_scale
1,2.20,2.3
2,,4.16
3,0.98,0.912
4,1.57,1.576
5,2.04,2.051
6,2.55,2.544
7,3.04,3.066
8,3.44,3.61
9,3.98,4.193
10,,4.787
11,0.93,0.869
12,1.31,1.293
13,1.61,1.613
14,1.90,1.916
15,2.19,2.253
16,2.58,2.589
17,3.16,2.869
18,,3.242
19,0.82,0.734
20,1.00,1.034
21,1.36,1.19
22,1.54,1.38
23,1.63,1.53
24,1.66,1.65
25,1.55,1.75
26,1.83,1.8
27,1.88,1.84
28,1.91,1.88
29,1.90,1.85
30,1.65,1.588
31,1.81,1.756
32,2.01,1.994
33,2.18,2.211
34,2.55,2.424
35,2.96,2.685
36,3.00,2.966
37,0.82,0.706
38,0.95,0.963
39,1.22,1.12
40,1.33,1.32
41,1.6,1.41
42,2.16,1.47
43,1.9,1.51
44,2.2,1.54
45,2.28,1.56
46,2.20,1.58
47,1.93,1.87
48,1.69,1.521
49,1.78,1.656
50,1.96,1.824
51,2.05,1.984
52,2.1,2.158
53,2.66,2.359
54,2.6,2.582
55,0.79,0.659
56,0.89,0.881
57,1.10,
58,1.12,
59,1.13,
60,1.14,
61,,
62,1.17,
63,,
64,1.20,
65,,
66,1.22,
67,1.23,
68,1.24,
69,1.25,
70,,
71,1.27,1.09
72,1.3,1.16
73,1.5,1.34
74,2.36,1.47
75,1.9,1.6
76,2.2,1.65
77,2.20,1.68
78,2.28,1.72
79,2.54,1.92
80,2.00,1.765
81,1.62,1.789
82,2.33,1.854
83,2.02,2.01
84,2.0,2.19
85,2.2,2.39
86,,2.6
87,,0.67
88,0.9,0.89
89,1.1,
90,1.3,
91,1.5,
92,1.38,
93,1.36,
94,1.28,
95,1.3,
96,1.3,
97,1.3,
98,1.3,
99,1.3,
100,1.3,
101,1.3,
102,1.3,
